"name" "date" "kpm" "errors" "place" "group" "group_rank" "group_points" "personal" "effective" "effective_score" "effective_kpm"
"Axiviel" "2015-02-06" 182 14 6 "2" 4 3 1 1 3 182
"Axiviel" "2015-03-11" 174 12 7 "2" 4 3 2 1 3 174
"Axiviel" "2015-02-04" 163 23 8 "2" 6 1 3 1 1 163
"Axiviel" "2015-02-12" 178 26 9 "2" 7 NA 4 NA NA NA
"Chrompy" "2015-02-17" 182 25 8 "2" 5 2 1 1 2 182
"Chrompy" "2015-02-06" 166 24 8 "2" 6 1 2 1 1 166
"Chrompy" "2015-02-04" 145 23 12 "2" 10 NA 3 NA NA NA
"DarenaL" "2015-03-06" 210 37 4 "2" 1 9 1 1 9 210
"DarenaL" "2015-03-18" 204 37 4 "2" 1 9 2 1 9 204
"DarenaL" "2015-03-20" 229 37 4 "2" 2 6 3 1 6 229
"DarenaL" "2015-03-25" 227 37 4 "2" 2 6 4 1 6 227
"DarenaL" "2015-03-13" 226 27 4 "2" 2 6 5 1 6 226
"DarenaL" "2015-03-27" 224 36 4 "2" 2 6 6 1 6 224
"DarenaL" "2015-02-27" 211 42 3 "2" 2 6 7 1 6 211
"DarenaL" "2015-02-17" 209 23 5 "2" 2 6 8 1 6 209
"DarenaL" "2015-03-11" 204 36 5 "2" 2 6 9 1 6 204
"DarenaL" "2015-02-10" 222 36 4 "2" 3 4 10 NA NA NA
"DarenaL" "2015-02-25" 220 45 5 "2" 3 4 11 NA NA NA
"DarenaL" "2015-02-12" 217 35 5 "2" 3 4 12 NA NA NA
"DarenaL" "2015-02-19" 203 49 6 "2" 3 4 13 NA NA NA
"DarenaL" "2015-02-06" 196 27 5 "2" 3 4 14 NA NA NA
"DarenaL" "2015-02-04" 187 46 5 "2" 3 4 15 NA NA NA
"dim-rudakov" "2015-02-17" 347 43 1 "1" 1 9 1 1 9 347
"dim-rudakov" "2015-02-19" 335 53 1 "1" 1 9 2 1 9 335
"golubeva" "2015-02-27" 171 17 4 "2" 3 4 1 1 4 171
"golubeva" "2015-03-06" 174 15 7 "2" 4 3 2 1 3 174
"golubeva" "2015-03-27" 174 22 6 "2" 4 3 3 1 3 174
"golubeva" "2015-03-18" NA 0 8 "2" 5 2 4 1 2 NA
"golubeva" "2015-02-17" 176 22 9 "2" 6 1 5 1 1 176
"golubeva" "2015-03-25" 153 28 8 "2" 6 1 6 1 1 153
"golubeva" "2015-02-06" 157 17 9 "2" 7 NA 7 NA NA NA
"golubeva" "2015-02-12" 172 19 10 "2" 8 NA 8 NA NA NA
"golubeva" "2015-02-04" 150 18 10 "2" 8 NA 9 NA NA NA
"jimmywit" "2015-02-12" 251 51 3 "2" 1 9 1 1 9 251
"jimmywit" "2015-02-10" 225 67 2 "2" 1 9 2 1 9 225
"jimmywit" "2015-02-06" 211 56 4 "2" 2 6 3 1 6 211
"jimmywit" "2015-02-04" 201 64 4 "2" 2 6 4 1 6 201
"LanaLana" "2015-02-04" 145 16 11 "2" 9 NA 1 NA NA NA
"LanaLana" "2015-02-06" 145 24 11 "2" 9 NA 2 NA NA NA
"Las402" "2015-02-27" 165 30 5 "2" 4 3 1 1 3 165
"Las402" "2015-03-18" 154 24 7 "2" 4 3 2 1 3 154
"Las402" "2015-02-25" 185 23 7 "2" 5 2 3 1 2 185
"Las402" "2015-02-04" 157 19 9 "2" 7 NA 4 NA NA NA
"Las402" "2015-02-17" 161 27 11 "2" 8 NA 5 NA NA NA
"Las402" "2015-02-06" 139 33 13 "2" 11 NA 6 NA NA NA
"Learroy" "2015-02-19" 221 40 4 "2" 1 9 1 1 9 221
"Learroy" "2015-02-06" 211 29 3 "2" 1 9 2 1 9 211
"Learroy" "2015-02-04" 207 38 3 "2" 1 9 3 1 9 207
"Learroy" "2015-03-13" 216 38 5 "2" 3 4 4 1 4 216
"Margarita_Shiki" "2015-03-25" 208 56 5 "2" 3 4 1 1 4 208
"Margarita_Shiki" "2015-03-06" 194 49 6 "2" 3 4 2 1 4 194
"Margarita_Shiki" "2015-03-11" 189 54 6 "2" 3 4 3 1 4 189
"Margarita_Shiki" "2015-02-10" 168 38 6 "2" 5 2 4 1 2 168
"Margarita_Shiki" "2015-02-12" 186 50 8 "2" 6 1 5 1 1 186
"nikysya" "2015-02-25" 204 33 6 "2" 4 3 1 1 3 204
"nikysya" "2015-02-17" 190 35 7 "2" 4 3 2 1 3 190
"nikysya" "2015-02-04" 178 31 6 "2" 4 3 3 1 3 178
"nikysya" "2015-02-19" 171 43 7 "2" 4 3 4 1 3 171
"nikysya" "2015-02-12" 186 36 7 "2" 5 2 5 1 2 186
"nikysya" "2015-02-06" 178 30 7 "2" 5 2 6 1 2 178
"seVes" "2015-03-06" 307 34 2 "1" 2 6 1 1 6 307
"seVes" "2015-03-18" 278 47 2 "1" 2 6 2 1 6 278
"seVes" "2015-03-11" 285 51 3 "1" 3 4 3 1 4 285
"Stemira" "2015-03-20" 173 25 5 "2" 3 4 1 1 4 173
"Stemira" "2015-03-18" 158 29 6 "2" 3 4 2 1 4 158
"Stemira" "2015-03-25" 169 26 7 "2" 5 2 3 1 2 169
"Stemira" "2015-03-27" 166 21 7 "2" 5 2 4 1 2 166
"Stemira" "2015-02-27" 148 39 6 "2" 5 2 5 1 2 148
"Stemira" "2015-02-25" 157 35 8 "2" 6 1 6 1 1 157
"Stemira" "2015-02-10" 151 28 7 "2" 6 1 7 1 1 151
"Stemira" "2015-02-17" 163 31 10 "2" 7 NA 8 NA NA NA
"Stemira" "2015-02-06" 146 40 10 "2" 8 NA 9 NA NA NA
"Stemira" "2015-02-12" 158 27 11 "2" 9 NA 10 NA NA NA
"Stemira" "2015-02-04" 142 39 13 "2" 11 NA 11 NA NA NA
"trist" "2015-03-25" 353 61 1 "1" 1 9 1 1 9 353
"trist" "2015-03-06" 339 45 1 "1" 1 9 2 1 9 339
"trist" "2015-03-13" 329 65 1 "1" 1 9 3 1 9 329
"trist" "2015-03-20" 328 61 1 "1" 1 9 4 1 9 328
"trist" "2015-02-27" 325 60 1 "1" 1 9 5 1 9 325
"trist" "2015-02-25" 323 75 1 "1" 1 9 6 1 9 323
"trist" "2015-03-11" 319 56 1 "1" 1 9 7 1 9 319
"trist" "2015-02-12" 315 71 1 "1" 1 9 8 1 9 315
"trist" "2015-03-18" 312 63 1 "1" 1 9 9 1 9 312
"trist" "2015-02-04" 298 54 1 "1" 1 9 10 NA NA NA
"trist" "2015-03-27" 297 57 1 "1" 1 9 11 NA NA NA
"trist" "2015-02-06" 281 65 1 "1" 1 9 12 NA NA NA
"trist" "2015-02-17" 316 65 2 "1" 2 6 13 NA NA NA
"trist" "2015-02-19" 315 60 2 "1" 2 6 14 NA NA NA
"wowanama" "2015-03-20" 258 31 3 "2" 1 9 1 1 9 258
"wowanama" "2015-03-13" 250 42 3 "2" 1 9 2 1 9 250
"wowanama" "2015-02-25" 245 35 3 "2" 1 9 3 1 9 245
"wowanama" "2015-03-25" 244 47 3 "2" 1 9 4 1 9 244
